tscr_a,tscr_b,tscr_r,tlr_a,tlr_b,tlr_r,Vinflux,Vdam,Vtag,Vrep,dil_rh,dil_rd,dil_rt,dil_rma,dil_rmb,dil_rmr,dil_rtca,dil_rtcb,dil_rtcr,deg_rd,deg_rma,deg_rmb,deg_rmr
0.0,0.0,0.0,28.0,0.0,0.0,61622.0,53951.0,14.0,62.0,7749.0,49366.0,1086.0,0.0,0.0,0.0,29.0,1.0,1.0,3434.0,1.0,1.0,0.0
0.0,0.0,0.0,9.0,31.0,1.0,61164.0,55490.0,141.0,1868.0,7750.0,49746.0,290.0,0.0,0.0,0.0,10.0,32.0,2.0,3538.0,1.0,0.0,0.0
1.0,2.0,0.0,6.0,26.0,0.0,61937.0,55534.0,25.0,1250.0,7684.0,50345.0,262.0,0.0,0.0,1.0,317.0,27.0,0.0,3672.0,2.0,3.0,0.0
4.0,2.0,0.0,16.0,17.0,1.0,61227.0,54515.0,216.0,857.0,7958.0,49233.0,865.0,1.0,0.0,0.0,202.0,65.0,2.0,3477.0,4.0,3.0,0.0
5.0,3.0,1.0,10.0,12.0,4.0,61130.0,56859.0,328.0,3140.0,8202.0,49325.0,420.0,0.0,0.0,0.0,749.0,346.0,5.0,3528.0,6.0,4.0,1.0
0.0,0.0,0.0,1.0,5.0,0.0,61278.0,53786.0,6.0,80.0,7603.0,50104.0,32.0,0.0,0.0,0.0,2.0,6.0,1.0,3551.0,1.0,1.0,0.0
2.0,3.0,0.0,54.0,55.0,2.0,61364.0,54025.0,10.0,115.0,7498.0,49536.0,741.0,0.0,0.0,0.0,80.0,283.0,3.0,3608.0,3.0,4.0,0.0
0.0,3.0,0.0,11.0,51.0,1.0,61131.0,54081.0,20.0,602.0,7688.0,49481.0,359.0,0.0,0.0,1.0,12.0,183.0,2.0,3631.0,1.0,4.0,0.0
1.0,0.0,0.0,36.0,23.0,0.0,61731.0,57098.0,222.0,3322.0,8143.0,49284.0,1027.0,0.0,0.0,0.0,37.0,24.0,1.0,3510.0,1.0,0.0,0.0
1.0,1.0,0.0,24.0,27.0,0.0,61879.0,56898.0,241.0,3449.0,8627.0,49388.0,997.0,0.0,0.0,0.0,308.0,385.0,1.0,3521.0,2.0,2.0,0.0
3.0,3.0,3.0,23.0,11.0,9.0,61494.0,56666.0,351.0,2993.0,8071.0,49474.0,810.0,0.0,0.0,0.0,426.0,397.0,10.0,3541.0,4.0,4.0,3.0
3.0,0.0,0.0,20.0,2.0,0.0,61236.0,54273.0,48.0,639.0,7621.0,49664.0,532.0,0.0,0.0,0.0,35.0,3.0,1.0,3471.0,4.0,1.0,1.0
3.0,4.0,2.0,45.0,5.0,4.0,60900.0,53893.0,54.0,898.0,8023.0,48490.0,1289.0,0.0,0.0,0.0,485.0,427.0,5.0,3459.0,3.0,5.0,2.0
0.0,0.0,0.0,21.0,22.0,0.0,61210.0,54437.0,58.0,792.0,7582.0,49325.0,852.0,0.0,0.0,0.0,22.0,23.0,1.0,3506.0,1.0,1.0,0.0
0.0,0.0,0.0,29.0,14.0,0.0,61369.0,54074.0,29.0,457.0,7769.0,49220.0,944.0,0.0,0.0,0.0,30.0,15.0,1.0,3468.0,0.0,1.0,1.0
0.0,0.0,0.0,11.0,18.0,0.0,61870.0,55113.0,77.0,1144.0,7957.0,49770.0,570.0,0.0,0.0,0.0,12.0,19.0,1.0,3657.0,1.0,1.0,0.0
1.0,0.0,0.0,22.0,13.0,2.0,61617.0,55830.0,527.0,1796.0,8161.0,49647.0,676.0,0.0,0.0,0.0,27.0,14.0,3.0,3540.0,2.0,1.0,0.0
0.0,0.0,0.0,5.0,0.0,0.0,61503.0,54733.0,62.0,844.0,7635.0,50103.0,223.0,0.0,0.0,0.0,6.0,1.0,1.0,3608.0,1.0,1.0,0.0
