t,atp
3.0586307e7,0.0
3.0591307e7,0.0
3.0596307e7,0.0
3.0601307e7,0.0
3.0606307e7,0.0
3.0611307e7,0.0
3.0616307e7,0.0
3.0621307e7,0.0
3.0626307e7,0.0
3.0631307e7,0.0
3.0636307e7,0.0
3.0641307e7,0.0
3.0646307e7,0.0
3.0651307e7,0.0
3.0656307e7,0.0
3.0661307e7,0.0
3.0666307e7,0.0
3.0671307e7,0.0
3.0676307e7,0.0
3.0681307e7,0.0
3.0686307e7,0.0
3.0691307e7,0.0
3.0696307e7,0.0
3.0701307e7,0.0
3.0706307e7,0.0
3.0711307e7,0.0
3.0716307e7,0.0
3.0721307e7,0.0
3.0726307e7,0.0
3.0731307e7,0.0
3.0736307e7,0.0
3.0741307e7,0.0
3.0746307e7,0.0
3.0751307e7,0.0
3.0756307e7,0.0
3.0761307e7,0.0
3.0766307e7,0.0
3.0771307e7,0.0
3.0776307e7,0.0
3.0781307e7,0.0
3.0786307e7,0.0
3.0791307e7,0.0
3.0796307e7,0.0
3.0801307e7,0.0
3.0806307e7,0.0
3.0811307e7,0.0
3.0816307e7,0.0
3.0821307e7,0.0
3.0826307e7,0.0
3.0831307e7,0.0
3.0836307e7,0.0
3.0841307e7,0.0
3.0846307e7,0.0
3.0851307e7,0.0
3.0856307e7,0.0
3.0861307e7,0.0
3.0866307e7,0.0
3.0871307e7,0.0
3.0876307e7,0.0
3.0881307e7,0.0
3.0886307e7,0.0
3.0891307e7,0.0
3.0896307e7,0.0
3.0901307e7,0.0
3.0906307e7,0.0
3.0911307e7,0.0
3.0916307e7,0.0
3.0921307e7,0.0
3.0926307e7,0.0
3.0931307e7,0.0
3.0936307e7,0.0
3.0941307e7,0.0
3.0946307e7,0.0
3.0951307e7,0.0
3.0956307e7,0.0
3.0961307e7,0.0
3.0966307e7,0.0
3.0971307e7,0.0
3.0976307e7,0.0
3.0981307e7,0.0
3.0986307e7,0.0
3.0991307e7,0.0
3.0996307e7,0.0
3.1001307e7,0.0
3.1006307e7,0.0
3.1011307e7,0.0
3.1016307e7,0.0
3.1021307e7,0.0
3.1026307e7,0.0
3.1031307e7,0.0
3.1036307e7,0.0
3.1041307e7,0.0
3.1046307e7,0.0
3.1051307e7,0.0
3.1056307e7,0.0
3.1061307e7,0.0
3.1066307e7,0.0
3.1071307e7,0.0
3.1076307e7,0.0
3.1081307e7,0.0
3.1086307e7,0.0
3.1091307e7,0.0
3.1096307e7,0.0
3.1101307e7,0.0
3.1106307e7,0.0
3.1111307e7,0.0
3.1116307e7,0.0
3.1121307e7,0.0
3.1126307e7,0.0
3.1131307e7,0.0
3.1136307e7,0.0
3.1141307e7,0.0
3.1146307e7,0.0
3.1151307e7,0.0
3.1156307e7,0.0
3.1161307e7,0.0
3.1166307e7,0.0
3.1171307e7,0.0
3.1176307e7,0.0
3.1181307e7,0.0
3.1186307e7,0.0
3.1191307e7,0.0
3.1196307e7,0.0
3.1201307e7,0.0
3.1206307e7,0.0
3.1211307e7,0.0
3.1216307e7,0.0
3.1221307e7,0.0
3.1226307e7,0.0
3.1231307e7,0.0
3.1236307e7,0.0
3.1241307e7,0.0
3.1246307e7,0.0
3.1251307e7,0.0
3.1256307e7,0.0
3.1261307e7,0.0
3.1266307e7,0.0
3.1271307e7,0.0
3.1276307e7,0.0
3.1281307e7,0.0
3.1286307e7,0.0
3.1291307e7,0.0
3.1296307e7,0.0
3.1301307e7,0.0
3.1306307e7,0.0
3.1311307e7,0.0
3.1316307e7,0.0
3.1321307e7,0.0
3.1326307e7,0.0
3.1331307e7,0.0
3.1336307e7,0.0
3.1341307e7,0.0
3.1346307e7,0.0
3.1351307e7,0.0
3.1356307e7,0.0
3.1361307e7,0.0
3.1366307e7,0.0
3.1371307e7,0.0
3.1376307e7,0.0
3.1381307e7,0.0
3.1386307e7,0.0
3.1391307e7,0.0
3.1396307e7,0.0
3.1401307e7,0.0
3.1406307e7,0.0
3.1411307e7,0.0
3.1416307e7,0.0
3.1421307e7,0.0
3.1426307e7,0.0
3.1431307e7,0.0
3.1436307e7,0.0
3.1441307e7,0.0
3.1446307e7,0.0
3.1451307e7,0.0
3.1456307e7,0.0
3.1461307e7,0.0
3.1466307e7,0.0
3.1471307e7,0.0
3.1476307e7,0.0
3.1481307e7,0.0
3.1486307e7,0.0
3.1491307e7,0.0
3.1496307e7,0.0
3.1501307e7,0.0
3.1506307e7,0.0
3.1511307e7,0.0
3.1516307e7,0.0
3.1521307e7,0.0
3.1526307e7,0.0
3.1531307e7,0.0
3.1536307e7,0.0
3.1541307e7,0.0
3.1546307e7,0.0
3.1551307e7,0.0
3.1556307e7,0.0
3.1561307e7,0.0
3.1566307e7,0.0
3.1571307e7,0.0
3.1576307e7,0.0
3.1581307e7,0.0
3.1586307e7,0.0
3.1591307e7,0.0
3.1596307e7,0.0
3.1601307e7,0.0
3.1606307e7,0.0
3.1611307e7,0.0
3.1616307e7,0.0
3.1621307e7,0.0
3.1626307e7,0.0
3.1631307e7,0.0
3.1636307e7,0.0
3.1641307e7,0.0
3.1646307e7,0.0
3.1651307e7,0.0
3.1656307e7,0.0
3.1661307e7,0.0
3.1666307e7,0.0
3.1671307e7,0.0
3.1676307e7,0.0
3.1681307e7,0.0
3.1686307e7,0.0
3.1691307e7,0.0
3.1696307e7,0.0
3.1701307e7,0.0
3.1706307e7,0.0
3.1711307e7,0.0
3.1716307e7,0.0
3.1721307e7,0.0
3.1726307e7,0.0
3.1731307e7,0.0
3.1736307e7,0.0
3.1741307e7,0.0
3.1746307e7,0.0
3.1751307e7,0.0
3.1756307e7,0.0
3.1761307e7,0.0
3.1766307e7,0.0
3.1771307e7,0.0
3.1776307e7,0.0
3.1781307e7,0.0
3.1786307e7,0.0
3.1791307e7,0.0
3.1796307e7,0.0
3.1801307e7,0.0
3.1806307e7,0.0
3.1811307e7,0.0
3.1816307e7,0.0
3.1821307e7,0.0
3.1826307e7,0.0
3.1831307e7,0.0
3.1836307e7,0.0
3.1841307e7,0.0
3.1846307e7,0.0
3.1851307e7,0.0
3.1856307e7,0.0
3.1861307e7,0.0
3.1866307e7,0.0
3.1871307e7,0.0
3.1876307e7,0.0
3.1881307e7,0.0
3.1886307e7,0.0
3.1891307e7,0.0
3.1896307e7,0.0
3.1901307e7,0.0
3.1906307e7,0.0
3.1911307e7,0.0
3.1916307e7,0.0
3.1921307e7,0.0
3.1926307e7,0.0
3.1931307e7,0.0
3.1936307e7,0.0
3.1941307e7,0.0
3.1946307e7,0.0
3.1951307e7,0.0
3.1956307e7,0.0
3.1961307e7,0.0
3.1966307e7,0.0
3.1971307e7,0.0
3.1976307e7,0.0
3.1981307e7,0.0
3.1986307e7,0.0
3.1991307e7,0.0
3.1996307e7,0.0
3.2001307e7,0.0
3.2006307e7,0.0
3.2011307e7,0.0
3.2016307e7,0.0
3.2021307e7,0.0
3.2026307e7,0.0
3.2031307e7,0.0
3.2036307e7,0.0
3.2041307e7,0.0
3.2046307e7,0.0
3.2051307e7,0.0
3.2056307e7,0.0
3.2061307e7,0.0
3.2066307e7,0.0
3.2071307e7,0.0
3.2076307e7,0.0
3.2081307e7,0.0
3.2086307e7,0.0
3.2091307e7,0.0
3.2096307e7,0.0
3.2101307e7,0.0
3.2106307e7,0.0
3.2111307e7,0.0
3.2116307e7,0.0
3.2121307e7,0.0
3.2126307e7,0.0
3.2131307e7,0.0
3.2136307e7,0.0
3.2141307e7,0.0
3.2146307e7,0.0
3.2151307e7,0.0
3.2156307e7,0.0
3.2161307e7,0.0
3.2166307e7,0.0
3.2171307e7,0.0
3.2176307e7,0.0
3.2181307e7,0.0
3.2186307e7,0.0
3.2191307e7,0.0
3.2196307e7,0.0
3.2201307e7,0.0
3.2206307e7,0.0
3.2211307e7,0.0
3.2216307e7,0.0
3.2221307e7,0.0
3.2226307e7,0.0
3.2231307e7,0.0
3.2236307e7,0.0
3.2241307e7,0.0
3.2246307e7,0.0
